1,4909
2,1684
3,847
4,547
5,409
6,319
7,259
8,271
9,218
10,196
11,218
12,166
13,176
14,180
15,173
16,153
17,151
18,124
19,119
20,127
21,97
22,103
23,93
24,82
25,75
26,74
27,71
28,59
29,59
30,49
31,50
32,46
33,36
34,30
35,29
36,20
37,25
38,27
39,16
40,23
41,9
42,17
43,16
44,10
45,11
46,10
47,11
48,10
49,11
50,8
51,7
52,5
309,1
53,3
54,6
55,5
56,8
57,9
313,1
58,8
59,7
60,8
61,3
62,5
63,4
64,1
65,5
66,1
67,4
68,1
69,3
70,2
71,1
72,3
73,4
74,3
75,4
76,1
77,1
80,1
82,2
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
98,4
99,1
102,1
105,2
361,1
108,2
110,1
111,1
112,3
115,1
116,1
117,1
120,1
123,2
131,1
136,1
137,1
651,1
142,2
143,1
159,1
170,2
174,1
432,1
179,1
182,1
187,1
709,1
214,1
215,1
224,1
227,1
254,1
