1,10940
257,1
2,4121
3,2292
4,1493
5,1068
6,774
263,1
7,573
8,469
9,383
10,329
11,279
12,270
13,240
14,190
15,215
16,174
17,136
18,148
19,113
20,105
21,93
22,90
23,121
24,100
280,1
281,1
25,81
26,77
27,69
28,74
29,62
285,1
30,54
286,1
31,56
32,47
33,42
34,52
35,50
36,46
37,40
38,40
39,40
40,34
41,34
42,40
43,41
44,37
45,27
46,28
47,28
48,25
49,22
50,26
51,25
52,18
308,1
53,18
54,10
55,23
56,21
57,16
58,10
59,13
60,13
61,9
62,12
63,13
64,12
65,8
66,13
67,16
68,11
324,1
69,12
70,11
71,10
72,9
73,18
74,11
75,13
76,12
77,9
78,10
79,12
80,8
81,9
82,6
83,5
84,9
85,6
86,6
87,3
88,8
89,7
90,5
91,6
347,1
92,4
93,7
94,7
95,4
96,4
97,5
98,4
99,6
100,1
101,8
102,2
103,4
104,5
105,6
107,6
108,1
109,5
110,4
367,1
112,6
368,1
113,2
114,6
115,2
116,3
373,1
117,2
118,3
119,2
120,6
121,1
122,1
123,1
124,2
125,3
126,1
127,5
128,5
130,1
131,2
133,1
135,1
136,1
138,2
139,4
140,1
141,1
143,1
145,2
146,4
147,2
148,1
153,3
410,1
412,1
156,1
158,1
160,4
161,2
164,1
165,1
422,1
166,1
167,2
423,1
168,3
169,2
426,1
171,1
172,4
173,1
175,2
176,1
178,2
443,1
191,1
192,2
193,2
196,1
199,2
206,1
212,3
213,1
214,1
216,1
227,3
230,1
233,1
236,2
243,1
249,1
251,2
